"lower_case_title","rental_rate","sale_rate"
"shrunk divine","2.99","2.2425"
"side ark","0.99","0.7425"
"siege madre","0.99","0.7425"
"sierra divide","0.99","0.7425"
"silence kane","0.99","0.7425"
"silverado goldfinger","4.99","3.7425"
"simon north","0.99","0.7425"
"sinners atlantis","2.99","2.2425"
"sister freddy","4.99","3.7425"
"sky miracle","2.99","2.2425"
"slacker liaisons","4.99","3.7425"
"sleeping suspects","4.99","3.7425"
"sleepless monsoon","4.99","3.7425"
"sleuth orient","0.99","0.7425"
"sling luke","0.99","0.7425"
"slipper fidelity","0.99","0.7425"
"slums duck","0.99","0.7425"
"smile earring","2.99","2.2425"
"smoking barbarella","0.99","0.7425"
"smoochy control","0.99","0.7425"
"snatch slipper","4.99","3.7425"
"snatchers montezuma","2.99","2.2425"
"snowman rollercoaster","0.99","0.7425"
"soldiers evolution","4.99","3.7425"
"something duck","4.99","3.7425"
"song hedwig","0.99","0.7425"
"sons interview","2.99","2.2425"
"sorority queen","0.99","0.7425"
"soup wisdom","0.99","0.7425"
"south wait","2.99","2.2425"
"spartacus cheaper","4.99","3.7425"
"speakeasy date","2.99","2.2425"
"speed suit","4.99","3.7425"
"spice sorority","4.99","3.7425"
"spiking element","2.99","2.2425"
"spinal rocky","2.99","2.2425"
"spirit flintstones","0.99","0.7425"
"spirited casualties","0.99","0.7425"
"splash gump","0.99","0.7425"
"splendor patton","0.99","0.7425"
"spoilers hellfighters","0.99","0.7425"
"spy mile","2.99","2.2425"
"squad fish","2.99","2.2425"
"stage world","2.99","2.2425"
"stagecoach armageddon","4.99","3.7425"
"stallion sundance","0.99","0.7425"
"stampede disturbing","0.99","0.7425"
"star operation","2.99","2.2425"
"state wasteland","2.99","2.2425"
"steel santa","4.99","3.7425"
"steers armageddon","4.99","3.7425"
"stepmom dream","4.99","3.7425"
"sting personal","4.99","3.7425"
"stock glass","2.99","2.2425"
"stone fire","0.99","0.7425"
"storm happiness","0.99","0.7425"
"story side","0.99","0.7425"
"straight hours","0.99","0.7425"
"strangelove desire","0.99","0.7425"
"stranger strangers","4.99","3.7425"
"strangers graffiti","4.99","3.7425"
"streak ridgemont","0.99","0.7425"
"streetcar intentions","4.99","3.7425"
"strictly scarface","2.99","2.2425"
"submarine bed","4.99","3.7425"
"sugar wonka","4.99","3.7425"
"suicides silence","4.99","3.7425"
"suit walls","4.99","3.7425"
"summer scarface","0.99","0.7425"
"sun confessions","0.99","0.7425"
"sundance invasion","0.99","0.7425"
"sunrise league","4.99","3.7425"
"sunset racer","0.99","0.7425"
"super wyoming","4.99","3.7425"
"superfly trip","0.99","0.7425"
"suspects quills","2.99","2.2425"
"swarm gold","0.99","0.7425"
"sweden shining","4.99","3.7425"
"sweet brotherhood","2.99","2.2425"
"sweethearts suspects","0.99","0.7425"
"tadpole park","2.99","2.2425"
"talented homicide","0.99","0.7425"
"tarzan videotape","2.99","2.2425"
"taxi kick","0.99","0.7425"
"teen apollo","4.99","3.7425"
"telegraph voyage","4.99","3.7425"
"telemark heartbreakers","2.99","2.2425"
"temple attraction","4.99","3.7425"
"tenenbaums command","0.99","0.7425"
"tequila past","4.99","3.7425"
"terminator club","4.99","3.7425"
"texas watch","0.99","0.7425"
"theory mermaid","0.99","0.7425"
"thief pelican","4.99","3.7425"
"thin sagebrush","4.99","3.7425"
"ties hunger","4.99","3.7425"
"tights dawn","0.99","0.7425"
"timberland sky","0.99","0.7425"
"titanic boondock","4.99","3.7425"
"titans jerk","4.99","3.7425"
"tomatoes hellfighters","0.99","0.7425"
"tomorrow hustler","2.99","2.2425"
"tootsie pilot","0.99","0.7425"
"torque bound","4.99","3.7425"
"tourist pelican","4.99","3.7425"
"towers hurricane","0.99","0.7425"
"town ark","2.99","2.2425"
"tracy cider","0.99","0.7425"
"trading pinocchio","4.99","3.7425"
"traffic hobbit","4.99","3.7425"
"train bunch","4.99","3.7425"
"trainspotting strangers","4.99","3.7425"
"tramp others","0.99","0.7425"
"translation summer","0.99","0.7425"
"trap guys","4.99","3.7425"
"treasure command","0.99","0.7425"
"treatment jekyll","0.99","0.7425"
"trip newton","4.99","3.7425"
"trojan tomorrow","2.99","2.2425"
"troopers metal","0.99","0.7425"
"trouble date","2.99","2.2425"
"truman crazy","4.99","3.7425"
"turn star","2.99","2.2425"
"tuxedo mile","2.99","2.2425"
"twisted pirates","4.99","3.7425"
"tycoon gathering","4.99","3.7425"
"unbreakable karate","0.99","0.7425"
"uncut suicides","2.99","2.2425"
"undefeated dalmations","4.99","3.7425"
"unfaithful kill","2.99","2.2425"
"unforgiven zoolander","0.99","0.7425"
"united pilot","0.99","0.7425"
"untouchables sunrise","2.99","2.2425"
"uprising uptown","2.99","2.2425"
"uptown young","2.99","2.2425"
"usual untouchables","4.99","3.7425"
"vacation boondock","2.99","2.2425"
"valentine vanishing","0.99","0.7425"
"valley packer","0.99","0.7425"
"vampire whale","4.99","3.7425"
"vanilla day","4.99","3.7425"
"vanished garden","0.99","0.7425"
"vanishing rocky","2.99","2.2425"
"varsity trip","2.99","2.2425"
"velvet terminator","4.99","3.7425"
"vertigo northwest","2.99","2.2425"
"victory academy","0.99","0.7425"
"videotape arsenic","4.99","3.7425"
"vietnam smoochy","0.99","0.7425"
"villain desperate","4.99","3.7425"
"virgin daisy","4.99","3.7425"
"virginian pluto","0.99","0.7425"
"virtual spoilers","4.99","3.7425"
"vision torque","0.99","0.7425"
"voice peach","0.99","0.7425"
"volcano texas","0.99","0.7425"
"volume house","4.99","3.7425"
"voyage legally","0.99","0.7425"
"wagon jaws","2.99","2.2425"
"wait cider","0.99","0.7425"
"wake jaws","4.99","3.7425"
"walls artist","4.99","3.7425"
"wanda chamber","4.99","3.7425"
"war notting","4.99","3.7425"
"wardrobe phantom","2.99","2.2425"
"warlock werewolf","2.99","2.2425"
"wars pluto","2.99","2.2425"
"wash heavenly","4.99","3.7425"
"wasteland divine","2.99","2.2425"
"watch tracy","0.99","0.7425"
"waterfront deliverance","4.99","3.7425"
"watership frontier","0.99","0.7425"
"wedding apollo","0.99","0.7425"
"weekend personal","2.99","2.2425"
"werewolf lola","4.99","3.7425"
"west lion","4.99","3.7425"
"westward seabiscuit","0.99","0.7425"
"whale bikini","4.99","3.7425"
"whisperer giant","4.99","3.7425"
"wife turn","4.99","3.7425"
"wild apollo","0.99","0.7425"
"willow tracy","2.99","2.2425"
"wind phantom","0.99","0.7425"
"window side","2.99","2.2425"
"wisdom worker","0.99","0.7425"
"witches panic","4.99","3.7425"
"wizard coldblooded","4.99","3.7425"
"wolves desire","0.99","0.7425"
"women dorado","0.99","0.7425"
"won dares","2.99","2.2425"
"wonderful drop","2.99","2.2425"
"wonderland christmas","4.99","3.7425"
"wonka sea","2.99","2.2425"
"words hunter","2.99","2.2425"
"worker tarzan","2.99","2.2425"
"working microcosmos","4.99","3.7425"
"world leathernecks","0.99","0.7425"
"worst banger","2.99","2.2425"
"wrath mile","0.99","0.7425"
"wrong behavior","2.99","2.2425"
"wyoming storm","4.99","3.7425"
"yentl idaho","4.99","3.7425"
"young language","0.99","0.7425"
"youth kick","0.99","0.7425"
"zhivago core","0.99","0.7425"
"zoolander fiction","2.99","2.2425"
"zorro ark","4.99","3.7425"
